date,ccu
2022-10-17,4190332.0
2022-10-18,3917505.0
2022-10-19,3791625.0
2022-10-20,3948057.0
2022-10-21,4666072.0
2022-10-22,6814529.0
2022-10-23,6829927.0
2022-10-24,4342263.0
2022-10-25,4195148.0
2022-10-26,4124552.0
2022-10-27,4227849.0
2022-10-28,5122038.0
2022-10-29,6642854.0
2022-10-30,6645393.0
2022-10-31,4438452.0
2022-11-01,4339806.0
2022-11-02,4559592.0
2022-11-03,4083982.0
2022-11-04,4763665.0
2022-11-05,6881037.0
2022-11-06,6659896.0
2022-11-07,4201009.0
2022-11-08,4345690.0
2022-11-09,3674667.0
2022-11-10,3963610.0
2022-11-11,5231586.0
2022-11-12,6869310.0
2022-11-13,6753199.0
2022-11-14,4323246.0
2022-11-15,4114435.0
2022-11-16,3784955.0
2022-11-17,3906738.0
2022-11-18,4673399.0
2022-11-19,6894350.0
2022-11-20,6801439.0
2022-11-21,5125519.0
2022-11-22,4803417.0
2022-11-23,5187985.0
2022-11-24,5454428.0
2022-11-25,6236986.0
2022-11-26,6938851.0
2022-11-27,6773446.0
2022-11-28,4510466.0
2022-11-29,3899004.0
2022-11-30,3946200.0
2022-12-01,4093261.0
2022-12-02,4792038.0
2022-12-03,7259788.0
2022-12-04,6628969.0
2022-12-05,4349252.0
2022-12-06,3965157.0
2022-12-07,3977865.0
2022-12-08,4267838.0
2022-12-09,5094527.0
2022-12-10,7431504.0
2022-12-11,6844751.0
2022-12-12,4532167.0
2022-12-13,4308792.0
2022-12-14,4306104.0
2022-12-15,4580137.0
2022-12-16,5113127.0
2022-12-17,7076364.0
2022-12-18,6833009.0
